filename,submission_id,actual_verdict,predicted_verdict,predicted_line_number
5.json,s461817056,Accepted,Accepted,0
20.json,s076119307,Accepted,ERROR,-1
10.json,s744952785,Accepted,Accepted,0
1.json,s839880737,Accepted,ERROR,-1
2.json,s778095288,Compile Error,Compile Error,10
27.json,s692683625,Compile Error,ERROR,-1
10.json,s303123646,Accepted,Accepted,0
1.json,s430428693,Accepted,Accepted,0
23.json,s228921302,Compile Error,Compile Error,4
19.json,s418201755,Compile Error,Compile Error,3
17.json,s909008168,Accepted,Accepted,0
4.json,s263589804,Compile Error,Accepted,0
27.json,s248784789,Accepted,Accepted,0
21.json,s224643052,Accepted,Accepted,0
23.json,s998822896,Accepted,Accepted,0
5.json,s792540966,Compile Error,Compile Error,4
12.json,s345426355,Accepted,Accepted,0
19.json,s351929347,Accepted,Accepted,0
16.json,s106952430,Compile Error,ERROR,-1
16.json,s898648601,Compile Error,Compile Error,13
5.json,s885067026,Compile Error,ERROR,-1
15.json,s856019154,Accepted,Accepted,0
16.json,s972450294,Compile Error,ERROR,-1
12.json,s845839346,Accepted,Compile Error,19
4.json,s823712730,Compile Error,Accepted,0
19.json,s206331899,Accepted,Accepted,0
24.json,s014601626,Accepted,Accepted,0
15.json,s022347654,Compile Error,Compile Error,26
8.json,s329311435,Accepted,Accepted,0
6.json,s677357515,Compile Error,ERROR,-1
25.json,s144507360,Compile Error,Compile Error,7
3.json,s518701552,Accepted,Accepted,0
14.json,s672757605,Compile Error,Accepted,0
10.json,s552505875,Accepted,Accepted,0
3.json,s094330439,Accepted,ERROR,-1
2.json,s849005655,Compile Error,Compile Error,8
17.json,s066447527,Accepted,ERROR,-1
6.json,s090707517,Accepted,Accepted,0
8.json,s802141980,Accepted,Accepted,0
9.json,s402339480,Accepted,Accepted,0
13.json,s145161239,Compile Error,Accepted,0
25.json,s613596079,Compile Error,Compile Error,8
10.json,s287645428,Accepted,Accepted,0
0.json,s343501828,Accepted,Accepted,0
2.json,s215584404,Compile Error,Accepted,0
6.json,s394571894,Accepted,Accepted,0
24.json,s212416336,Accepted,Accepted,0
6.json,s360365087,Compile Error,Compile Error,19
13.json,s406628602,Accepted,Accepted,0
15.json,s557167847,Accepted,Accepted,0
20.json,s065461169,Compile Error,Compile Error,4
13.json,s256607369,Compile Error,Accepted,0
24.json,s205270522,Accepted,Accepted,0
10.json,s996843356,Compile Error,Compile Error,56
25.json,s331173679,Compile Error,Compile Error,15
24.json,s995835074,Compile Error,Compile Error,7
8.json,s657263609,Accepted,Accepted,0
3.json,s559183224,Compile Error,Compile Error,7
7.json,s592180443,Compile Error,Accepted,0
20.json,s533437290,Compile Error,Compile Error,12
0.json,s904026753,Compile Error,Accepted,0
27.json,s380558520,Accepted,Accepted,0
0.json,s499191157,Accepted,Accepted,0
18.json,s610429750,Accepted,Accepted,0
18.json,s766635648,Compile Error,Accepted,0
24.json,s799030629,Accepted,Accepted,0
1.json,s389710189,Compile Error,Compile Error,12
18.json,s460071600,Accepted,Accepted,0
14.json,s999176300,Compile Error,Accepted,0
17.json,s410934282,Compile Error,Accepted,0
20.json,s947842844,Compile Error,ERROR,-1
18.json,s345039408,Accepted,Accepted,0
6.json,s060860989,Accepted,Accepted,0
16.json,s855751121,Accepted,Accepted,0
23.json,s978066292,Accepted,Accepted,0
14.json,s766194610,Accepted,ERROR,-1
23.json,s535332625,Accepted,Accepted,0
9.json,s518878123,Compile Error,Compile Error,6
20.json,s876319276,Accepted,Accepted,0
3.json,s226774177,Accepted,Accepted,0
2.json,s912399133,Compile Error,Compile Error,3
17.json,s989307814,Accepted,Accepted,0
16.json,s982406571,Accepted,Accepted,0
25.json,s573504301,Accepted,Accepted,0
18.json,s597802912,Accepted,Accepted,0
1.json,s195819185,Compile Error,Compile Error,13
14.json,s535186673,Compile Error,Accepted,0
5.json,s665815140,Compile Error,Compile Error,4
0.json,s023333354,Compile Error,Compile Error,12
8.json,s738362241,Accepted,Accepted,0
4.json,s145447200,Accepted,Accepted,0
2.json,s906111903,Compile Error,Accepted,0
13.json,s524767736,Compile Error,Accepted,0
11.json,s997503781,Compile Error,ERROR,-1
