case_no,code_token
8,"import java.io.BufferedReader;
import java.io.BufferedWriter;
import java.io.Closeable;
import java.io.FileInputStream;
import java.io.FileWriter;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.ArrayList;
import java.util.Arrays;
import java.util.HashMap;
import java.util.List;
import java.util.PriorityQueue;
import java.util.TreeMap;

public class Main {
	static ContestScanner in;static Writer out;public static void main(String[] args)
	{try{in=new ContestScanner();out=new Writer();Main solve=new Main();solve.solve();
	in.close();out.flush();out.close();}catch(IOException e){e.printStackTrace();}}
	static void dump(int[]a){for(int i=0;i<a.length;i++)out.print(a[i]+"" "");out.println();}
	static void dump(int[]a,int n){for(int i=0;i<a.length;i++)out.printf(""%""+n+""d "",a[i]);out.println();}
	static void dump(long[]a){for(int i=0;i<a.length;i++)out.print(a[i]+"" "");out.println();}
	static void dump(char[]a){for(int i=0;i<a.length;i++)out.print(a[i]);out.println();}
	static long pow(long a,int n){long r=1;while(n>0){if((n&1)==1)r*=a;a*=a;n>>=1;}return r;}
	static String itob(int a,int l){return String.format(""%""+l+""s"",Integer.toBinaryString(a)).replace(' ','0');}
	static void sort(int[]a){m_sort(a,0,a.length,new int[a.length]);}
	static void sort(int[]a,int l){m_sort(a,0,l,new int[l]);}
	static void sort(int[]a,int l,int[]buf){m_sort(a,0,l,buf);}
	static void sort(int[]a,int s,int l,int[]buf){m_sort(a,s,l,buf);}
	static void m_sort(int[]a,int s,int sz,int[]b)
	{if(sz<7){for(int i=s;i<s+sz;i++)for(int j=i;j>s&&a[j-1]>a[j];j--)swap(a, j, j-1);return;}
	m_sort(a,s,sz/2,b);m_sort(a,s+sz/2,sz-sz/2,b);int idx=s;int l=s,r=s+sz/2;final int le=s+sz/2,re=s+sz;
	while(l<le&&r<re){if(a[l]>a[r])b[idx++]=a[r++];else b[idx++]=a[l++];}
	while(r<re)b[idx++]=a[r++];while(l<le)b[idx++]=a[l++];for(int i=s;i<s+sz;i++)a[i]=b[i];
	} /* qsort(3.5s)<<msort(9.5s)<<<shuffle+qsort(17s)<Arrays.sort(Integer)(20s) */
	static void sort(long[]a){m_sort(a,0,a.length,new long[a.length]);}
	static void sort(long[]a,int l){m_sort(a,0,l,new long[l]);}
	static void sort(long[]a,int l,long[]buf){m_sort(a,0,l,buf);}
	static void sort(long[]a,int s,int l,long[]buf){m_sort(a,s,l,buf);}
	static void m_sort(long[]a,int s,int sz,long[]b)
	{if(sz<7){for(int i=s;i<s+sz;i++)for(int j=i;j>s&&a[j-1]>a[j];j--)swap(a, j, j-1);return;}
	m_sort(a,s,sz/2,b);m_sort(a,s+sz/2,sz-sz/2,b);int idx=s;int l=s,r=s+sz/2;final int le=s+sz/2,re=s+sz;
	while(l<le&&r<re){if(a[l]>a[r])b[idx++]=a[r++];else b[idx++]=a[l++];}
	while(r<re)b[idx++]=a[r++];while(l<le)b[idx++]=a[l++];for(int i=s;i<s+sz;i++)a[i]=b[i];}
	static void swap(long[] a,int i,int j){final long t=a[i];a[i]=a[j];a[j]=t;}
	static void swap(int[] a,int i,int j){final int t=a[i];a[i]=a[j];a[j]=t;}
	static int binarySearchSmallerMax(int[]a,int v)// get maximum index which a[idx]<=v
	{int l=-1,r=a.length-1,s=0;while(l<=r){int m=(l+r)/2;if(a[m]>v)r=m-1;else{l=m+1;s=m;}}return s;}
	static int binarySearchSmallerMax(int[]a,int v,int l,int r)
	{int s=-1;while(l<=r){int m=(l+r)/2;if(a[m]>v)r=m-1;else{l=m+1;s=m;}}return s;}
	static List<Integer>[]createGraph(int n)
    {List<Integer>[]g=new List[n];for(int i=0;i<n;i++)g[i]=new ArrayList<>();return g;}
	void solve() throws NumberFormatException, IOException{
		final int n = in.nextInt();
		final int m = in.nextInt();
		int f = in.nextInt();
		List<Edge>[] node = new List[n];
		for(int i=0; i<n; i++) node[i] = new ArrayList<>();
		for(int i=0; i<m; i++){
			int a = in.nextInt();
			int b = in.nextInt();
			int c = in.nextInt();
			int d = in.nextInt();
			Edge e = new Edge(b, c, d);
			Edge r = new Edge(a, 0, -d);
			e.rev = r;
			r.rev = e;
			node[a].add(e);
			node[b].add(r);
		}
		final int s = 0, t = n-1;
		int[] h = new int[n];
		int[] dist = new int[n];
		int[] preV = new int[n];
		int[] preE = new int[n];
		final int inf = Integer.MAX_VALUE;
		PriorityQueue<Pos> qu = new PriorityQueue<>();
		int res = 0;
		while(f>0){
			Arrays.fill(dist, inf);
			dist[s] = 0;
			qu.clear();
			qu.add(new Pos(s, 0));
			while(!qu.isEmpty()){
				Pos p = qu.poll();
				if(dist[p.v]<p.d) continue;
				dist[p.v] = p.d;
				final int sz = node[p.v].size();
				for(int i=0; i<sz; i++){
					Edge e = node[p.v].get(i);
					final int nd = e.cost+p.d + h[p.v]-h[e.to];
					if(e.cap>0 && nd < dist[e.to]){
						preV[e.to] = p.v;
						preE[e.to] = i;
						qu.add(new Pos(e.to, nd));
					}
				}
			}
			if(dist[t]==inf) break;
			for(int i=0; i<n; i++) h[i] += dist[i];
			int minf = f;
			for(int i=t; i!=s; i=preV[i]){
				minf = Math.min(minf, node[preV[i]].get(preE[i]).cap);
			}
			f -= minf;
			res += minf*h[t];
			for(int i=t; i!=s; i=preV[i]){
				node[preV[i]].get(preE[i]).cap -= minf;
				node[preV[i]].get(preE[i]).rev.cap += minf;
			}
		}
		System.out.println(res);
	}
}
class Pos implements Comparable<Pos>{
	int v, d;
	public Pos(int v, int d) {
		this.v = v;
		this.d = d;
	}
	@Override
	public int compareTo(Pos o) {
		return d-o.d;
	}
}

class Edge{
	int to, cap, cost;
	Edge rev;
	Edge(int t, int c, int co){
		to = t;
		cap = c;
		cost = co;
	}
	void rev(Edge r){
		rev = r;
	}
}


class MultiSet<T> extends HashMap<T, Integer>{
	@Override public Integer get(Object key){return containsKey(key)?super.get(key):0;}
	public void add(T key,int v){put(key,get(key)+v);}
	public void add(T key){put(key,get(key)+1);}
	public void sub(T key){final int v=get(key);if(v==1)remove(key);else put(key,v-1);}
	public MultiSet<T> merge(MultiSet<T> set)
	{MultiSet<T>s,l;if(this.size()<set.size()){s=this;l=set;}else{s=set;l=this;}
	for(Entry<T,Integer>e:s.entrySet())l.add(e.getKey(),e.getValue());return l;}
}
class OrderedMultiSet<T> extends TreeMap<T, Integer>{
	@Override public Integer get(Object key){return containsKey(key)?super.get(key):0;}
	public void add(T key,int v){put(key,get(key)+v);}
	public void add(T key){put(key,get(key)+1);}
	public void sub(T key){final int v=get(key);if(v==1)remove(key);else put(key,v-1);}
	public OrderedMultiSet<T> merge(OrderedMultiSet<T> set)
	{OrderedMultiSet<T>s,l;if(this.size()<set.size()){s=this;l=set;}else{s=set;l=this;}
	while(!s.isEmpty()){l.add(s.firstEntry().getKey(),s.pollFirstEntry().getValue());}return l;}
}
class Pair implements Comparable<Pair>{
	int a,b;final int hash;Pair(int a,int b){this.a=a;this.b=b;hash=(a<<16|a>>16)^b;}
	public boolean equals(Object obj){Pair o=(Pair)(obj);return a==o.a&&b==o.b;}
	public int hashCode(){return hash;}
	public int compareTo(Pair o){if(a!=o.a)return a<o.a?-1:1;else if(b!=o.b)return b<o.b?-1:1;return 0;}
}
class Timer{
	long time;public void set(){time=System.currentTimeMillis();}
	public long stop(){return time=System.currentTimeMillis()-time;}
	public void print(){System.out.println(""Time: ""+(System.currentTimeMillis()-time)+""ms"");}
	@Override public String toString(){return""Time: ""+time+""ms"";}
}
class Writer extends PrintWriter{
	public Writer(String filename)throws IOException
	{super(new BufferedWriter(new FileWriter(filename)));}
	public Writer()throws IOException{super(System.out);}
}
class ContestScanner implements Closeable{
	private BufferedReader in;private int c=-2;
	public ContestScanner()throws IOException 
	{in=new BufferedReader(new InputStreamReader(System.in));}
	public ContestScanner(String filename)throws IOException
	{in=new BufferedReader(new InputStreamReader(new FileInputStream(filename)));}
	public String nextToken()throws IOException {
		StringBuilder sb=new StringBuilder();
		while((c=in.read())!=-1&&Character.isWhitespace(c));
		while(c!=-1&&!Character.isWhitespace(c)){sb.append((char)c);c=in.read();}
		return sb.toString();
	}
	public String readLine()throws IOException{
		StringBuilder sb=new StringBuilder();if(c==-2)c=in.read();
		while(c!=-1&&c!='\n'&&c!='\r'){sb.append((char)c);c=in.read();}
		return sb.toString();
	}
	public long nextLong()throws IOException,NumberFormatException
	{return Long.parseLong(nextToken());}
	public int nextInt()throws NumberFormatException,IOException
	{return(int)nextLong();}
	public double nextDouble()throws NumberFormatException,IOException 
	{return Double.parseDouble(nextToken());}
	public void close() throws IOException {in.close();}
}"
9,"import java.util.*;
import java.io.*;
//fastest
class Main{
  static List dummy;

  public static void main(String args[])throws Exception{
    BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
    int n = Integer.parseInt(br.readLine());
    init();
    int i;
    String s;
    int key = 0;
    for(i = n ; i>0; i--){
      StringTokenizer token = new StringTokenizer(br.readLine());
      s = token.nextToken();
      if(s.length()<=6)key= Integer.parseInt(token.nextToken());
      if(s.charAt(0)=='i'){
        insert(key);
      }else if(s.length()>6){
        if(s.charAt(6)=='F' ){
          deleteFirst();
        }else if(s.charAt(6)=='L'){
          deleteLast();
        }
      }else{
        delete(key);
      }
    }
    Print_list();
  }
  static void init(){
    dummy = new List();
    dummy.next=dummy;
    dummy.previous=dummy;
  }
  //insert
  static void insert(int n){
    List list = new List(n);
    list.next=dummy.next;
    dummy.next.previous=list;
    dummy.next=list;
    list.previous=dummy;
  }
  //ノードの削除メソッド
  static void deleteNode(List delete){
    if( delete == dummy)return;
    delete.previous.next=delete.next;
    delete.next.previous=delete.previous;
  }
  //指定したノードの削除
  static void delete(int n){
    deleteNode(listSearch(n));
  }
  //firstnode削除
  static void deleteFirst(){
    deleteNode(dummy.next);
  }
  //lastnode削除
  static void deleteLast(){
    deleteNode(dummy.previous);
  }
  //keyを使ってノードを探索
  static List listSearch(int n){
    List cur = dummy.next;
    while(cur.data!=n && cur!=dummy){
      cur = cur.next;
    }
    return cur;
  }
  //printメソッド
  static void Print_list(){
    List list = dummy.next;
    if(list != dummy){
      System.out.printf(""%d"",list.data);
      list = list.next;
    }
    while(list!=dummy){
      System.out.printf("" %d"",list.data);
      list = list.next;
    }
    System.out.println();
  }
}
//listの構造体的役割
class List{
  public int data;
  public List next;
  public List previous;

  public List(){}
    public List(int n){
      this.data = n;
    }
  }

"
10,"import java.io.OutputStream;
import java.io.IOException;
import java.io.InputStream;
import java.io.PrintWriter;
import java.util.Arrays;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.ArrayList;
import java.io.UncheckedIOException;
import java.util.List;
import java.util.stream.Stream;
import java.util.StringTokenizer;
import java.io.BufferedReader;
import java.io.InputStream;
import java.util.function.IntFunction;

/**
 * Built using CHelper plug-in
 * Actual solution is at the top
 *
 * @author mikit
 */
public class Main {
    public static void main(String[] args) {
        InputStream inputStream = System.in;
        OutputStream outputStream = System.out;
        LightScanner in = new LightScanner(inputStream);
        PrintWriter out = new PrintWriter(outputStream);
        DPeopleOnALine solver = new DPeopleOnALine();
        solver.solve(1, in, out);
        out.close();
    }

    static class DPeopleOnALine {
        private static final String YES = ""Yes"";
        private static final String NO = ""No"";

        public void solve(int testNumber, LightScanner in, PrintWriter out) {
            int n = in.ints(), m = in.ints();
            int[] l = new int[m], r = new int[m], d = new int[m];
            ShortestPathSolver solver = ShortestPathSolver.Algorithm.WARSHALL_FLOYD.getInstance(n);
            for (int i = 0; i < m; i++) {
                l[i] = in.ints() - 1;
                r[i] = in.ints() - 1;
                d[i] = in.ints();
                solver.addEdge(l[i], r[i], d[i]);
            }
            for (int i = 0; i < m; i++) {
                if (solver.shortestPath(l[i], r[i]) != d[i] || solver.shortestPath(r[i], l[i]) < Integer.MAX_VALUE) {
                    out.println(NO);
                    return;
                }
            }
            out.println(YES);
        }

    }

    static class BellmanFord implements ShortestPathSolver {
        int nodes;
        List<BellmanFord.Edge> edges;
        long[] distance;

        public BellmanFord(int n) {
            nodes = n;
            edges = new ArrayList<>();
            distance = new long[n];
        }

        public void addEdge(int from, int to, int cost) {
            edges.add(new BellmanFord.Edge(from, to, cost));
        }

        public long shortestPath(int src, int dst) {
            Arrays.fill(distance, Long.MAX_VALUE);
            distance[src] = 0;
            for (int i = 0; i < 2 * nodes; i++) {
                for (BellmanFord.Edge e : edges) {
                    if (distance[e.from] < Long.MAX_VALUE && distance[e.to] > distance[e.from] + e.cost) {
                        distance[e.to] = distance[e.from] + e.cost;
                        if (i == nodes - 1 && e.to == dst) {
                            throw new RuntimeException(""negative loop"");
                        }
                    }
                }
            }
            return distance[dst];
        }

        private static class Edge {
            int from;
            int to;
            long cost;

            Edge(int from, int to, long cost) {
                this.from = from;
                this.to = to;
                this.cost = cost;
            }

        }

    }

    static class LightScanner {
        private BufferedReader reader = null;
        private StringTokenizer tokenizer = null;

        public LightScanner(InputStream in) {
            reader = new BufferedReader(new InputStreamReader(in));
        }

        public String string() {
            if (tokenizer == null || !tokenizer.hasMoreTokens()) {
                try {
                    tokenizer = new StringTokenizer(reader.readLine());
                } catch (IOException e) {
                    throw new UncheckedIOException(e);
                }
            }
            return tokenizer.nextToken();
        }

        public int ints() {
            return Integer.parseInt(string());
        }

    }

    static class WarshallFloyd implements ShortestPathSolver {
        private static final int INF = 0x2fffffff;
        private int[][] graph;
        private boolean calculated = false;

        public WarshallFloyd(int n) {
            graph = new int[n][n];
            Arrays.stream(graph).forEach(a -> Arrays.fill(a, INF));
        }

        public void addEdge(int from, int to, int cost) {
            graph[from][to] = cost;
        }

        public long shortestPath(int src, int dst) {
            if (!calculated) {
                for (int i = 0; i < graph.length; i++) {
                    for (int j = 0; j < graph.length; j++) {
                        for (int k = 0; k < graph.length; k++) {
                            graph[j][k] = Math.min(graph[j][k], graph[j][i] + graph[i][k]);
                        }
                    }
                }
                calculated = true;
            }
            return graph[src][dst] == INF ? Integer.MAX_VALUE : graph[src][dst];
        }

    }

    static interface ShortestPathSolver {
        void addEdge(int from, int to, int cost);

        long shortestPath(int src, int dst);

        enum Algorithm {
            WARSHALL_FLOYD(WarshallFloyd::new),
            BELLMAN_FORD(BellmanFord::new),
            DIJKSTRA(null),
            ;
            private final IntFunction<ShortestPathSolver> constructor;

            Algorithm(IntFunction<ShortestPathSolver> constructor) {
                this.constructor = constructor;
            }

            public ShortestPathSolver getInstance(int nodes) {
                return constructor.apply(nodes);
            }

        }

    }
}

"
11,"import java.io.*;
import java.util.*;

public class Main {
	public static void main(String[] args) {
		BufferedReader r = new BufferedReader(new InputStreamReader(System.in));		
		try {
			int A_size;
			
			while(true){
				/* input from here */
				String line = r.readLine();
				A_size = Integer.parseInt(line);
				long[] A = new long[A_size];
				if(A_size==0){
					break;
				} else if(A_size==1){
					line = r.readLine();
					System.out.println(line);
					continue;
				} else {				
					String[] temp = r.readLine().split("" "");
					for(int i=0;i<A_size;i++){
						A[i] = Long.parseLong(temp[i]);
					}
				}
				/* input till here */
				/* processing from here */
				Arrays.sort(A);
				
				/* processing till here */
				/* output */
				
				boolean nosol = true;
				int count = 1;
				for(int i=0;i<A_size-1;i++){
					if(A[i]==A[i+1]){
						count++;
						if(count>A_size/2){
							System.out.println(A[i]);
							nosol = false;
							break;
						}
					} else {
						count = 1;
						if(i>A_size/2){
							break;
						}
					}					
				}
				if(nosol){
					System.out.println(""NO COLOR"");
				}		
				
			}
		} catch (IOException e) {
			e.printStackTrace();
		}
	}
}"
12,"import java.util.*;
public class Main {
	public static void main(String[] args){
		Scanner sc = new Scanner(System.in);
		String s = sc.next();
        int mod = 0;
        for(int i=0;i<s.length();i++){int a = string.ValueOf(s.charAt(i));
                                      mod+=a;
                                      mod%=9;
                            }
        
		if(mod==0){System.out.println(""Yes"");}
      else{System.out.println(""No"");}
	}
}
"
13,"import java.io.*;
public class  {
public static void main(String[] args) {
BufferedReader reader = new BufferedReader(new InputStreamReader(System.in));
try {
System.out.println(""数字を入力してください。"");
String line = reader.readline();
int a = Integer.parseInt(line);
int b = Integer.paeseInt(line);
if(a < b){
  System.out.println(""a < b"");
}else if(a = b){
  System.out.println(""a = b"");
}else{
  System.out.println(""a > b"");
}catch(IOException e) {
System.out.println(e);
} catch (NumberFormatException e) {
System.out.println(""数字の形式が正しくありません。"");
}
}
}
"
14,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;

public class Main {

    /**
     * @param args
     * @throws IOException
     * @throws NumberFormatException
     */
    public static void main(String[] args) throws NumberFormatException,
            IOException {

        BufferedReader reader = new BufferedReader(new InputStreamReader(
                System.in));

        int len = Integer.parseInt(reader.readLine());
        
        int[] arr = new int[len];

        String line;
        
        for (int i = 0; i < len; i++) {
            line = reader.readLine();
            arr[i] = Integer.parseInt(line);
        }
        
       int resultCount = 0; 
       for (int j = 0; j < arr.length; j++) {
           if(isPrime(arr[j])){
               resultCount ++;
           }
       }
       
       System.out.println(resultCount);

    }

    private static boolean isPrime(int value) {
        int count = 0;
        for (int i = 2; i < value; i++) {
            if(value % i == 0){
                count ++;
            }
        }
        return count == 0;
    }
    
    

}"
15,"import java.util.*;

public class Main{

    public static void main(String args[]){

        // スキャナーの宣言
        Scanner sc = new Scanner(System.in);
        // 整数の入力
		int r = sc.nextInt();
        // スペース区切りの整数の入力
        int g = sc.nextInt();
        int b = sc.nextInt();
        int n = sc.nextInt();
        int ans = 0;
        //for文
        for(int i = 0; i < n / r + 1; i++){
            for(int j = 0; j < (n - (i * r)) / g + 1; j++){
                if((n - (i * r + j * g)) % b == 0){
                    ans++;
                }
                /*for(int k = 0; k < (n - (i * r + j * g)) / b + 1; k++){
                    if(i * r + j * g + k * b == n){
                        ans++;
                        break;
                    }
                }*/
            }
        }
        // 出力
        System.out.println(ans);

    }

}"
16,"import java.io.OutputStream;
import java.io.IOException;
import java.io.InputStream;
import java.io.PrintWriter;
import java.util.SortedSet;
import java.util.Set;
import java.io.IOException;
import java.io.InputStreamReader;
import java.util.TreeSet;
import java.util.StringTokenizer;
import java.io.BufferedReader;
import java.util.Comparator;
import java.io.InputStream;

/**
 * Built using CHelper plug-in
 * Actual solution is at the top
 */
public class Main {
	public static void main(String[] args) {
		InputStream inputStream = System.in;
		OutputStream outputStream = System.out;
		FastScanner in = new FastScanner(inputStream);
		PrintWriter out = new PrintWriter(outputStream);
		TaskC solver = new TaskC();
		solver.solve(1, in, out);
		out.close();
	}

	static class TaskC {
		long sum;

		public void solve(int testNumber, FastScanner in, PrintWriter out) {
			int x = in.nextInt();
			int y = in.nextInt();
			int z = in.nextInt();
			int n = x + y + z;
			int[] a = new int[n];
			int[] b = new int[n];
			int[] c = new int[n];
			for (int i = 0; i < n; i++) {
				a[i] = in.nextInt();
				b[i] = in.nextInt();
				c[i] = in.nextInt();
			}

			SortedSet<Integer> ab = new TreeSet<>(diffComparator(a, b));
			SortedSet<Integer> ac = new TreeSet<>(diffComparator(a, c));
			SortedSet<Integer> ba = new TreeSet<>(diffComparator(b, a));
			SortedSet<Integer> bc = new TreeSet<>(diffComparator(b, c));
			SortedSet<Integer> ca = new TreeSet<>(diffComparator(c, a));
			SortedSet<Integer> cb = new TreeSet<>(diffComparator(c, b));

			sum = 0;
			for (int i = 0; i < n; i++) {
				if (i < x) {
					sum += a[i];
					ab.add(i);
					ac.add(i);
				} else if (i < x + y) {
					sum += b[i];
					ba.add(i);
					bc.add(i);
				} else {
					sum += c[i];
					ca.add(i);
					cb.add(i);
				}
			}

			while (true) {
				if (move2(ab, ba, ac, bc, a, b)) continue;
				if (move2(ac, ca, ab, cb, a, c)) continue;
				if (move2(bc, cb, ba, ca, b, c)) continue;

				if (move3(ab, ac, bc, ba, ca, cb, a, b, c)) continue;
				if (move3(ac, ab, cb, ca, ba, bc, a, c, b)) continue;

				break;
			}

			out.println(sum);
		}

		private Comparator<Integer> diffComparator(int[] a, int[] b) {
			return (i, j) -> {
				int u = a[i] - b[i];
				int v = a[j] - b[j];
				if (u != v) {
					return u < v ? -1 : 1;
				}
				if (!i.equals(j)) {
					return i < j ? -1 : 1;
				}
				return 0;
			};
		}

		private boolean move2(SortedSet<Integer> ab, SortedSet<Integer> ba, SortedSet<Integer> ac, SortedSet<Integer> bc, int[] a, int[] b) {
			int i = ab.first();
			int j = ba.first();
			long add = (long) -a[i] + b[i] - b[j] + a[j];
			if (add > 0) {
				ab.remove(i);
				ac.remove(i);
				ab.add(j);
				ac.add(j);
				ba.remove(j);
				bc.remove(j);
				ba.add(i);
				bc.add(i);
				sum += add;
				return true;
			}
			return false;
		}

		private boolean move3(SortedSet<Integer> ab, SortedSet<Integer> ac, SortedSet<Integer> bc, SortedSet<Integer> ba, SortedSet<Integer> ca, SortedSet<Integer> cb, int[] a, int[] b, int[] c) {
			int i = ab.first();
			int j = bc.first();
			int k = ca.first();
			long add = (long) -a[i] + b[i] - b[j] + c[j] - c[k] + a[k];
			if (add > 0) {
				ab.remove(i);
				ac.remove(i);
				ab.add(k);
				ac.add(k);
				ba.remove(j);
				bc.remove(j);
				ba.add(i);
				bc.add(i);
				ca.remove(k);
				cb.remove(k);
				ca.add(j);
				cb.add(j);
				sum += add;
				return true;
			}
			return false;
		}

	}

	static class FastScanner {
		private BufferedReader in;
		private StringTokenizer st;

		public FastScanner(InputStream stream) {
			in = new BufferedReader(new InputStreamReader(stream));
		}

		public String next() {
			while (st == null || !st.hasMoreTokens()) {
				try {
					st = new StringTokenizer(in.readLine());
				} catch (IOException e) {
					throw new RuntimeException(e);
				}
			}
			return st.nextToken();
		}

		public int nextInt() {
			return Integer.parseInt(next());
		}

	}
}

"
17,"import java.io.PrintStream;
import java.util.Scanner;

import library.common.Predef;

public class Main {
    static final PrintStream so = System.out;
    static final Scanner sc = new Scanner(System.in);
    
    public static void main(String[] args) {
        int N = ni();
        int[] A = new int[N];
        for (int i = 0; i < N; i++) {
            A[i] = ni();
        }
        
        int idx = -1;
        int minGCD = Integer.MAX_VALUE;
        
        for (int i = 0; i < N; i++) {
            int nextI = (i == N-1) ? 0 : i+1;
            int GCDi = gcd(A[i], A[nextI]);
            if (GCDi < minGCD) {
                minGCD = GCDi;
                idx = i;
            }
        }

        int[] copy1 = A.clone();
        copy1[idx] = 0;
        int[] copy2 = A.clone();
        copy2[idx == N-1 ? 0 : idx+1] = 0;
        
        so.println(Math.max(gcd(copy1), gcd(copy2)));
    }
    
    static int gcd(int[] a) {
        int ans = 0;
        for (int i = 0; i < a.length; i++) {
            int nextI = i == a.length-1 ? 0 : i+1;
            int GCDi = gcd(a[i], a[nextI]);
            ans = gcd(ans, GCDi);
        }
        return ans;
    }
    
    static int gcd(int m, int n) {
        if(m < n) return gcd(n, m);
        if(n == 0) return m;
        return gcd(n, m % n);
    }
        
       
    static int ni() {
        return sc.nextInt();
    }
    
    static long nl() {
        return sc.nextLong();
    }

    static char[] nsToChars() {
        return sc.next().toCharArray();
    }
}
"
18,"import java.util.*;

public class Main {
  public static void main(String[] args) {
    Scanner sc = new Scanner(System.in);
    String s = sc.next();
    String ans = """";
    for (int i=0; i<s.length(); i += 2) {
      char odd = s.charAt(i);
      ans = ans + String.valueOf(odd);
    }
    System.out.println(ans);
  }
}"
19,"import java.util.*;
import java.io.*;

public class Main {
    
    static int n;
    static int[] a;
    static int[] index;
    static int[] dp;
    static int[] times;
    public static void main(String[] args) throws IOException {
        BufferedReader br=new BufferedReader(new InputStreamReader(System.in));
        n=Integer.parseInt(br.readLine());
        a=new int[n-1];
        index=new int[n];
        dp=new int[n+1];
        times=new int[n];
        index[0]=1;
        Arrays.fill(dp,-1);
        int count=0;
        for(int i=0;i<n-1;i++){
            a[i]=Integer.parseInt(br.readLine());
            times[a[i]-1]++;
            index[i+1]=i+2;
        }
        int one=times[0];
        //quick(times,0,n-1);
        for(int i=0;i<n;i++){
            if(times[i]==0){
                count=Math.max(count,dfs(a[index[i]-2]));
            }
        }System.out.println(count+1);
        //System.out.println(Arrays.toString(times)+""\n""+Arrays.toString(index));
    }
    
    static int dfs(int target){
        //System.out.println(""target=""+target);
        if(dp[target]!=-1){ return dp[target]; }
        if(target==1) return 0;
        dp[target]=dfs(a[target-2])+times[target-1];
        return dp[target];
    }
}"
20,"import java.io.BufferedReader;
import java.io.IOException;
import java.io.InputStreamReader;
import java.io.PrintWriter;
import java.util.StringTokenizer;

public class Main {
	
	public static void main(String[] args) throws IOException {
		MyScanner sc = new MyScanner();
		PrintWriter out = new PrintWriter(System.out);
		int H = sc.nextInt();
		int W = sc.nextInt();
		char[][] grid = new char[H][];
		for (int i = 0; i < grid.length; i++) {
			grid[i] = sc.next().toCharArray();
		}
		short[][][][] max = new short[W][H][H][17];
		int tmp;
		for (int from2 = W-1; from2 >= 0; from2--) {
			for (int from1 = 0; from1 < H; from1++) {
				max[from2][from1][from1][0] = (short)(from2 + 1);
				if (from2 + 1 < W && grid[from1][from2] == grid[from1][from2 + 1]) {
					max[from2][from1][from1][0] = max[from2 + 1][from1][from1][0];
				}
			}
			for (int from1 = 0; from1 < H; from1++) {
				for (int to1 = from1 + 1; to1 < H; to1++) {
					max[from2][from1][to1][0] = (short)from2;
					if (grid[to1-1][from2] == grid[to1][from2]) {
						max[from2][from1][to1][0] = (short)Math.min(max[from2][from1][to1-1][0], max[from2][to1][to1][0]);
					}
				}
			}
		}
		for (int i = 1; i < 17; i++) {
			for (int from2 = 0; from2 < W; from2++) {
				for (int from1 = 0; from1 < H; from1++) {
					int med = from1;
					for (int to1 = from1; to1 < H; to1++) {
						tmp = max[from2][from1][to1][i - 1];
						max[from2][from1][to1][i] = tmp < W ? max[tmp][from1][to1][i - 1] : (short)W;
						int cur = med + 1 <= to1 ? Math.min(max[from2][from1][med][i-1], max[from2][med+1][to1][i-1]) : -1, next;
						while (med + 2 <= to1 && (next = Math.min(max[from2][from1][med+1][i-1], max[from2][med+2][to1][i-1])) >= cur) {
							med++;
							cur = next;
						}
						if (cur != -1) max[from2][from1][to1][i] = (short)Math.max(max[from2][from1][to1][i], cur);
					}
				}
			}
		}
		int ans;
		for (ans = 0; ans < 17; ans++) {
			if (max[0][0][H-1][ans] >= W) break;
		}
		out.println(ans);
		
		out.flush();
	}
	
	static int val(char c) {
		return c == '#' ? 1 : 0;
	}
	
	static class MyScanner {
		private BufferedReader br;
		private StringTokenizer tokenizer;
		
		public MyScanner() {
			br = new BufferedReader(new InputStreamReader(System.in));
		}
		
		public String next() {
			while (tokenizer == null || !tokenizer.hasMoreTokens()) {
				try {
					tokenizer = new StringTokenizer(br.readLine());
				} catch (IOException e) {
					throw new RuntimeException(e);
				}
			}
			return tokenizer.nextToken();
		}
		
		public int nextInt() {
			return Integer.parseInt(next());
		}
		
		public long nextLong() {
			return Long.parseLong(next());
		}
	}
}
"
21,"import java.util.Scanner;

public class Main {

    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        int n = sc.nextInt();
        String s = sc.next();

        int[] a = new int[n + 1];
        int count = 0 ;
        for (int i = 1 ; i < n + 1 ; i++) {
            if (s.substring(i - 1, i).equals(""#"")) {
                count++;
            }
            a[i] = count;
        }

        int min = 12345567;
        for (int i = 0 ; i < n + 1 ; i++) {
            int b = n - i - (a[n] - a[i]);
            int w = a[i];
            min = Math.min(min, b + w);
        }

        System.out.println(min);
    }

}
"
